,Actual,Forecast
2024-11-05,366.2900085449219,365.00378937086816
2024-11-06,385.1799926757813,382.94411221504413
2024-11-07,387.0,380.33716238980094
2024-11-08,391.3999938964844,388.4996077382326
2024-11-11,398.1000061035156,399.61677749718433
2024-11-12,398.0199890136719,400.26760485863383
2024-11-13,402.3599853515625,403.072332080394
2024-11-14,394.3900146484375,398.62193327399643
2024-11-15,387.0,388.72748740723205
